Step,T_CE,T_Acc,T_Res,V_CE,V_Acc,V_Res,E_CE,E_Acc,E_Res,Time
500,2.3025102923583987,0.11142,5571.0,,,,2.3024563568115233,0.1003,1003.0,56.72596502304077
1000,2.30237267578125,0.11376,5688.0,,,,2.3023660003662108,0.1047,1047.0,112.41244316101074
1500,2.302208282470703,0.1102,5510.0,,,,2.3022525177001953,0.1,1000.0,168.05297708511353
2000,2.3019801895141603,0.11916,5958.0,,,,2.30204609375,0.1,1000.0,223.6366741657257
2500,2.3014652966308593,0.13342,6671.0,,,,2.301472187805176,0.1,1000.0,279.0850131511688
3000,2.299620597229004,0.14462,7231.0,,,,2.2979662399291994,0.1542,1542.0,334.537575006485
3500,2.274955576477051,0.12208,6104.0,,,,2.2431623580932616,0.1601,1601.0,390.0769121646881
4000,2.1953009005737303,0.1677,8385.0,,,,2.1660665176391602,0.1844,1844.0,445.730651140213
4500,2.1113926794433593,0.19144,9572.0,,,,2.025086875915527,0.2081,2081.0,501.1031241416931
5000,1.9450846871948242,0.2196,10980.0,,,,1.9026088226318358,0.2323,2323.0,556.580549955368
5500,1.8960501254272462,0.24146,12073.0,,,,1.8999170501708984,0.232,2320.0,612.1304659843445
6000,1.869980574951172,0.25284,12642.0,,,,1.8888958374023437,0.253,2530.0,667.5992109775543
6500,1.8413142709350585,0.26224,13112.0,,,,1.830903857421875,0.2695,2695.0,723.0702011585236
7000,1.8096958172607422,0.27932,13966.0,,,,1.7810573608398437,0.3001,3001.0,778.669970035553
7500,1.759320921936035,0.31572,15786.0,,,,1.731565525817871,0.3515,3515.0,834.253317117691
8000,1.6764553799438477,0.3546,17730.0,,,,1.6645026321411134,0.3708,3708.0,889.8514430522919
8500,1.5965909994506835,0.38692,19346.0,,,,1.5558590148925782,0.4171,4171.0,945.3758180141449
9000,1.50107397064209,0.42904,21452.0,,,,1.4536487930297852,0.4492,4492.0,1000.8954410552979
9500,1.4268547079467773,0.45872,22936.0,,,,1.4841359184265137,0.4486,4486.0,1056.4703569412231
10000,1.3562813191223144,0.48374,24187.0,,,,1.2914845962524415,0.5142,5142.0,1112.1530990600586
10500,1.3010318914794923,0.50656,25328.0,,,,1.2622998512268067,0.5231,5231.0,1167.6754009723663
11000,1.245329679260254,0.53176,26588.0,,,,1.1812259284973146,0.569,5690.0,1223.2156159877777
11500,1.2029906671142578,0.55124,27562.0,,,,1.1448607864379883,0.5804,5804.0,1278.8133640289307
12000,1.1425527346801758,0.57784,28892.0,,,,1.0800508270263671,0.6126,6126.0,1334.5005249977112
12500,1.085389105987549,0.60404,30202.0,,,,1.0447840858459472,0.6221,6221.0,1389.886579990387
13000,1.047354011077881,0.62112,31056.0,,,,1.013580079650879,0.6383,6383.0,1445.3414859771729
13500,0.9949575053405761,0.64118,32059.0,,,,0.9524887603759765,0.6592,6592.0,1500.9676871299744
14000,0.9526151893615723,0.6581,32905.0,,,,0.8879313652038574,0.6857,6857.0,1556.5817921161652
14500,0.9121094557189942,0.67404,33702.0,,,,0.8953179203033447,0.6869,6869.0,1612.1741931438446
15000,0.8712277519226074,0.68884,34442.0,,,,0.9318598175048828,0.6725,6725.0,1667.5808520317078
15500,0.8363530899810792,0.7047,35235.0,,,,0.8299180202484131,0.7138,7138.0,1723.0962271690369
16000,0.8003153034210205,0.71854,35927.0,,,,0.8634156040191651,0.7021,7021.0,1778.603912115097
16500,0.7619145306396484,0.73396,36698.0,,,,0.8098005672454834,0.7269,7269.0,1834.0773961544037
17000,0.7389355912780762,0.74256,37128.0,,,,0.7962355201721192,0.7315,7315.0,1873.9145350456238
17500,0.7122304242706299,0.75304,37652.0,,,,0.7557750221252442,0.7404,7404.0,1900.128406047821
18000,0.6890884911346435,0.7595,37975.0,,,,0.7900255939483642,0.7328,7328.0,1926.4114010334015
18500,0.658175134048462,0.76848,38424.0,,,,0.7899650325775146,0.7318,7318.0,1952.629420042038
19000,0.6399225296020508,0.7772,38860.0,,,,0.7164236576080322,0.7541,7541.0,1979.1574430465698
19500,0.6087704065704346,0.78664,39332.0,,,,0.7141606830596924,0.7576,7576.0,2005.6458749771118
20000,0.5921722431182861,0.7947,39735.0,,,,0.6882117980957031,0.7696,7696.0,2031.9352419376373
20500,0.5682500384521484,0.8021,40105.0,,,,0.7202648235321045,0.7561,7561.0,2058.2273819446564
21000,0.5502850828552246,0.8088,40440.0,,,,0.7322942863464356,0.759,7590.0,2084.5365891456604
21500,0.5383649785232544,0.8141,40705.0,,,,0.741792753982544,0.7518,7518.0,2110.858731985092
22000,0.526889443397522,0.81682,40841.0,,,,0.7120238964080811,0.7607,7607.0,2137.2518780231476
22500,0.5082869398117066,0.8237,41185.0,,,,0.683891860961914,0.7773,7773.0,2163.6085300445557
23000,0.48617672775268556,0.83202,41601.0,,,,0.6704857753753662,0.7779,7779.0,2189.859714984894
23500,0.4732193013381958,0.83766,41883.0,,,,0.6580963691711426,0.7812,7812.0,2216.207025051117
24000,0.4656536906814575,0.83942,41971.0,,,,0.6600303215026856,0.7807,7807.0,2242.55318403244
24500,0.44484547874450686,0.84684,42342.0,,,,0.6728676769256592,0.7779,7779.0,2268.861030101776
25000,0.42755975063323975,0.85246,42623.0,,,,0.7073639205932617,0.7749,7749.0,2295.14932513237
25500,0.4292339504623413,0.84984,42492.0,,,,0.6665722743988037,0.7887,7887.0,2321.3908450603485
26000,0.416987032699585,0.8563,42815.0,,,,0.6965079025268555,0.7774,7774.0,2347.734888076782
26500,0.40441962181091307,0.86178,43089.0,,,,0.7065408336639404,0.7737,7737.0,2374.0603671073914
27000,0.39288966892242433,0.86738,43369.0,,,,0.6799978336334228,0.7817,7817.0,2400.429116010666
27500,0.3812601991271973,0.86842,43421.0,,,,0.6827663280487061,0.7821,7821.0,2426.6988821029663
28000,0.3749618215942383,0.87312,43656.0,,,,0.70156413230896,0.7752,7752.0,2453.165369987488
