Step,T_CE,T_Acc,T_Res,V_CE,V_Acc,V_Res,E_CE,E_Acc,E_Res,Time
500,2.3025102923583987,0.11142,5571.0,,,,2.3024563568115233,0.1003,1003.0,26.478503942489624
1000,2.30237267578125,0.11376,5688.0,,,,2.3023660003662108,0.1047,1047.0,52.009846925735474
1500,2.302208282470703,0.1102,5510.0,,,,2.3022525177001953,0.1,1000.0,77.55233693122864
2000,2.3019801895141603,0.11916,5958.0,,,,2.30204609375,0.1,1000.0,103.32102108001709
2500,2.3014652966308593,0.13342,6671.0,,,,2.301472187805176,0.1,1000.0,129.0941240787506
3000,2.299620597229004,0.14462,7231.0,,,,2.2979662399291994,0.1542,1542.0,154.8649070262909
3500,2.274955576477051,0.12208,6104.0,,,,2.2431623580932616,0.1601,1601.0,180.6298689842224
4000,2.1953009005737303,0.1677,8385.0,,,,2.1660665176391602,0.1844,1844.0,206.39262294769287
4500,2.1113926794433593,0.19144,9572.0,,,,2.025086875915527,0.2081,2081.0,232.16208505630493
5000,1.9450846871948242,0.2196,10980.0,,,,1.9026088226318358,0.2323,2323.0,257.93037509918213
5500,1.8960501254272462,0.24146,12073.0,,,,1.8999170501708984,0.232,2320.0,283.7177119255066
6000,1.869980574951172,0.25284,12642.0,,,,1.8888958374023437,0.253,2530.0,309.5550260543823
6500,1.8413142709350585,0.26224,13112.0,,,,1.830903857421875,0.2695,2695.0,335.3630630970001
7000,1.8096958172607422,0.27932,13966.0,,,,1.7810573608398437,0.3001,3001.0,361.24453592300415
7500,1.759320921936035,0.31572,15786.0,,,,1.731565525817871,0.3515,3515.0,387.1170480251312
8000,1.6764553799438477,0.3546,17730.0,,,,1.6645026321411134,0.3708,3708.0,412.99821400642395
8500,1.5965909994506835,0.38692,19346.0,,,,1.5558590148925782,0.4171,4171.0,438.82389092445374
9000,1.50107397064209,0.42904,21452.0,,,,1.4536487930297852,0.4492,4492.0,464.74579906463623
9500,1.4268547079467773,0.45872,22936.0,,,,1.4841359184265137,0.4486,4486.0,490.6290240287781
10000,1.3562813191223144,0.48374,24187.0,,,,1.2914845962524415,0.5142,5142.0,516.5111980438232
10500,1.3010318914794923,0.50656,25328.0,,,,1.2622998512268067,0.5231,5231.0,542.4219908714294
11000,1.245329679260254,0.53176,26588.0,,,,1.1812259284973146,0.569,5690.0,568.3017718791962
11500,1.2029906671142578,0.55124,27562.0,,,,1.1448607864379883,0.5804,5804.0,594.1275429725647
12000,1.1425527346801758,0.57784,28892.0,,,,1.0800508270263671,0.6126,6126.0,620.0950238704681
