Step,T_CE,T_Acc,T_Res,V_CE,V_Acc,V_Res,E_CE,E_Acc,E_Res,Time
500,2.3025095703125,0.11122,5561.0,,,,2.302454490661621,0.1003,1003.0,26.610035181045532
1000,2.302353704833984,0.11618,5809.0,,,,2.3023677993774414,0.1031,1031.0,52.290810108184814
1500,2.302190050354004,0.11152,5576.0,,,,2.302247676086426,0.1,1000.0,78.06960010528564
2000,2.3019554428100584,0.12114,6057.0,,,,2.302019593811035,0.1,1000.0,103.84538722038269
2500,2.3013855068969726,0.13728,6864.0,,,,2.3013631820678713,0.1021,1021.0,129.62935709953308
3000,2.2990723434448244,0.14198,7099.0,,,,2.2966185440063476,0.1514,1514.0,155.56352400779724
3500,2.2684455752563477,0.1261,6305.0,,,,2.2321696228027346,0.1581,1581.0,181.53797602653503
4000,2.1868914611816406,0.17144,8572.0,,,,2.1591799377441405,0.1844,1844.0,207.47657299041748
4500,2.0978753799438477,0.19172,9586.0,,,,2.005299639892578,0.215,2150.0,233.4245080947876
5000,1.9387258386230468,0.22472,11236.0,,,,1.8990012924194335,0.2337,2337.0,259.3556661605835
5500,1.8923234826660156,0.24056,12028.0,,,,1.8942097351074219,0.2337,2337.0,285.3148682117462
6000,1.8674176391601562,0.25294,12647.0,,,,1.8942838668823243,0.251,2510.0,311.2314701080322
6500,1.8385959204101563,0.26184,13092.0,,,,1.8340980606079103,0.2673,2673.0,337.1601791381836
7000,1.8027287170410156,0.28336,14168.0,,,,1.7730729644775391,0.3065,3065.0,363.08249711990356
7500,1.7491206024169923,0.322,16100.0,,,,1.710478239440918,0.3585,3585.0,389.0176520347595
8000,1.6632465362548827,0.3599,17995.0,,,,1.6535614547729491,0.3754,3754.0,414.9837050437927
8500,1.5835833822631835,0.39514,19757.0,,,,1.5295353088378907,0.4287,4287.0,440.94843316078186
9000,1.4874672254943848,0.43534,21767.0,,,,1.4309389862060546,0.4567,4567.0,466.92445707321167
9500,1.4169790675354004,0.46128,23064.0,,,,1.4309521133422851,0.465,4650.0,492.9154272079468
10000,1.3455854681396484,0.4877,24385.0,,,,1.3029603210449219,0.5168,5168.0,518.9496870040894
10500,1.287783981781006,0.5133,25665.0,,,,1.2388850059509278,0.5375,5375.0,544.9758369922638
11000,1.232763719482422,0.53772,26886.0,,,,1.1781154487609864,0.5732,5732.0,571.024560213089
11500,1.1894455847167968,0.5597,27985.0,,,,1.1415662117004395,0.5838,5838.0,597.0513570308685
12000,1.1304527337646484,0.58538,29269.0,,,,1.1093395500183105,0.6032,6032.0,623.0751950740814
12500,1.07812859085083,0.60802,30401.0,,,,1.0409224838256836,0.6252,6252.0,649.0828511714935
13000,1.0342003407287597,0.6267,31335.0,,,,1.0192850143432617,0.6368,6368.0,675.1147260665894
13500,0.9839853366088868,0.64542,32271.0,,,,0.943271817779541,0.663,6630.0,701.1791660785675
14000,0.940389130859375,0.66406,33203.0,,,,0.8874835781097412,0.6866,6866.0,727.2335760593414
14500,0.9038604015350342,0.67574,33787.0,,,,0.8815813682556153,0.684,6840.0,753.2317922115326
