Step,T_CE,T_Acc,T_Res,V_CE,V_Acc,V_Res,E_CE,E_Acc,E_Res,Time
500,0.5366818209648132,0.82986,41493.0,0.18137771625518798,0.9479,9479.0,0.17086716675758362,0.9482,9482.0,1.9695730209350586
1000,0.26000724084854127,0.92216,46108.0,0.1416709142923355,0.9562,9562.0,0.13026829884052277,0.961,9610.0,3.462630033493042
1500,0.2100680307865143,0.93758,46879.0,0.1156516705751419,0.9668,9668.0,0.11320136550068856,0.9676,9676.0,4.954029083251953
2000,0.18036361979961396,0.94558,47279.0,0.10481112604141235,0.9705,9705.0,0.100544624209404,0.9692,9692.0,6.446119070053101
2500,0.16594868265151977,0.95,47500.0,0.1006931437253952,0.9714,9714.0,0.09346933063864708,0.9723,9723.0,7.938091993331909
3000,0.15299553647994996,0.95468,47734.0,0.08684790463447571,0.9735,9735.0,0.08375137361288071,0.9737,9737.0,9.430280208587646
3500,0.14167982156276704,0.9569,47845.0,0.08178499447107315,0.9765,9765.0,0.08264236781001091,0.9748,9748.0,10.92298412322998
4000,0.13313156264781953,0.95912,47956.0,0.0843423136472702,0.9763,9763.0,0.08415675628185272,0.9739,9739.0,12.416419982910156
4500,0.12121508924365043,0.96278,48139.0,0.07856752009987832,0.9774,9774.0,0.0740119569003582,0.9772,9772.0,13.90577507019043
5000,0.11664886906147003,0.96556,48278.0,0.07955437465012073,0.977,9770.0,0.07859976058006286,0.977,9770.0,15.392287015914917
5500,0.11154797280311585,0.96652,48326.0,0.07533893502354622,0.9777,9777.0,0.07065868903398514,0.9787,9787.0,16.879324197769165
6000,0.10484362308740616,0.96866,48433.0,0.07139023863375187,0.9783,9783.0,0.06856378748416901,0.979,9790.0,18.36785912513733
6500,0.09922235091209411,0.96914,48457.0,0.07124731329679489,0.9803,9803.0,0.06792625532150269,0.9805,9805.0,19.858170986175537
7000,0.09575096450805665,0.97134,48567.0,0.06921398002505302,0.9803,9803.0,0.06520225353240967,0.9806,9806.0,21.349364042282104
7500,0.09480616963744164,0.9705,48525.0,0.07522716081440449,0.9779,9779.0,0.07029743223190307,0.9791,9791.0,22.84195113182068
8000,0.09311496852517127,0.97148,48574.0,0.07718926558345557,0.9785,9785.0,0.07212744950652122,0.9792,9792.0,24.33684802055359
8500,0.0897093304014206,0.97246,48623.0,0.06642715621590614,0.9828,9828.0,0.06716661838293075,0.9816,9816.0,25.830944061279297
9000,0.0848899184757471,0.97368,48684.0,0.06679369144439697,0.9808,9808.0,0.06486266827732325,0.9821,9821.0,27.323819160461426
9500,0.08272446189880371,0.97478,48739.0,0.06589381859004498,0.9815,9815.0,0.062122960874438284,0.9831,9831.0,28.816644191741943
10000,0.07869559237480163,0.97462,48731.0,0.06367812970876693,0.9811,9811.0,0.06373761026710272,0.9826,9826.0,30.308674097061157
10500,0.0803432884478569,0.97514,48757.0,0.06504465710520745,0.9818,9818.0,0.062206987392902376,0.9829,9829.0,32.233092069625854
11000,0.07736947324872016,0.97654,48827.0,0.062012246158719066,0.9829,9829.0,0.06016881127357483,0.9837,9837.0,33.726898193359375
11500,0.07502436205744743,0.97638,48819.0,0.06160876150429249,0.9822,9822.0,0.06073632284700871,0.983,9830.0,35.219781160354614
12000,0.07231078905820847,0.97786,48893.0,0.06468772466480732,0.9821,9821.0,0.06688073427677155,0.9811,9811.0,36.71373105049133
12500,0.0704331185233593,0.97808,48904.0,0.059197706520557405,0.9826,9826.0,0.05897533794045448,0.9835,9835.0,38.205142974853516
13000,0.06631505806207656,0.97934,48967.0,0.06181983844935894,0.9835,9835.0,0.0581021254837513,0.9829,9829.0,39.69612717628479
13500,0.06992110008239746,0.97698,48849.0,0.059817918154597284,0.9834,9834.0,0.05627313469648361,0.9838,9838.0,41.18832015991211
14000,0.06653043323516845,0.9793,48965.0,0.06143836261928082,0.9829,9829.0,0.06135782220363617,0.9826,9826.0,42.68150806427002
14500,0.06421892897367477,0.97946,48973.0,0.06159147315323353,0.9831,9831.0,0.0597747977912426,0.9831,9831.0,44.177534103393555
15000,0.06322967851996422,0.97964,48982.0,0.06366386108994485,0.9829,9829.0,0.060172582150250675,0.9831,9831.0,45.67094898223877
15500,0.0629268293583393,0.98054,49027.0,0.0593380691871047,0.9833,9833.0,0.059330965063720945,0.9834,9834.0,47.164467096328735
16000,0.06055391871631145,0.981,49050.0,0.05750155481398106,0.9843,9843.0,0.05822509550899267,0.9833,9833.0,48.657522201538086
16500,0.05942720935165882,0.9813,49065.0,0.05740889178216457,0.9841,9841.0,0.05691663126051426,0.984,9840.0,50.14967608451843
17000,0.06066508892476559,0.98038,49019.0,0.059276084245741364,0.9843,9843.0,0.05599205092415214,0.985,9850.0,51.64043116569519
17500,0.056749107897281645,0.98174,49087.0,0.058448308292031285,0.9837,9837.0,0.05765502820611,0.9839,9839.0,53.133355140686035
18000,0.05718111106336117,0.9819,49095.0,0.05627475256323814,0.9834,9834.0,0.05896614787131548,0.9839,9839.0,54.621581077575684
18500,0.05661217475116253,0.98148,49074.0,0.05812696688473225,0.9835,9835.0,0.05905827454775572,0.9832,9832.0,56.110061168670654
19000,0.05792948801606893,0.98122,49061.0,0.05558608074635267,0.9841,9841.0,0.05582898932546377,0.9844,9844.0,57.600542068481445
19500,0.056164439629912376,0.9817,49085.0,0.0563143745072186,0.9842,9842.0,0.0578077514462173,0.9836,9836.0,59.09197807312012
20000,0.05455824099898338,0.98242,49121.0,0.059311688040196896,0.983,9830.0,0.06419041155651212,0.9822,9822.0,60.5838360786438
20500,0.05218661919504404,0.98314,49157.0,0.05670980194061995,0.9848,9848.0,0.059266543133556844,0.9829,9829.0,62.507169008255005
21000,0.05044537664115429,0.98372,49186.0,0.056687138503789904,0.9841,9841.0,0.056818588078022,0.9834,9834.0,64.00010204315186
21500,0.052235535511672496,0.98322,49161.0,0.0565033771649003,0.9846,9846.0,0.05519807223603129,0.9845,9845.0,65.49315309524536
22000,0.05040599756330252,0.9843,49215.0,0.05833021046742797,0.984,9840.0,0.05668843133226037,0.9839,9839.0,66.98515009880066
22500,0.049589054720401766,0.9842,49210.0,0.05719900101348758,0.9837,9837.0,0.05495763342231512,0.9845,9845.0,68.47730112075806
23000,0.04944124550879002,0.98402,49201.0,0.05962887256518006,0.9846,9846.0,0.05764759395010769,0.9839,9839.0,69.96976113319397
23500,0.04956771303892136,0.98384,49192.0,0.05436968154013157,0.985,9850.0,0.05505859912782907,0.9847,9847.0,71.4607241153717
24000,0.048417087521255016,0.9845,49225.0,0.05407534411251545,0.9844,9844.0,0.054063895839452744,0.985,9850.0,72.95410919189453
24500,0.04724888715684414,0.98468,49234.0,0.05403341332413256,0.9866,9866.0,0.053290555806457994,0.9852,9852.0,74.4464590549469
25000,0.04812299647450447,0.98404,49202.0,0.05806205711551011,0.9842,9842.0,0.05565910720564425,0.9845,9845.0,75.9402711391449
25500,0.04566399452060461,0.98546,49273.0,0.05696330916956067,0.9846,9846.0,0.054112490805238486,0.9849,9849.0,77.43369507789612
26000,0.046798590604066846,0.9842,49210.0,0.054424316607415674,0.9859,9859.0,0.05554911048337817,0.9844,9844.0,78.92532205581665
26500,0.04602797600835562,0.98522,49261.0,0.054349151710420845,0.9861,9861.0,0.05404335459619761,0.9852,9852.0,80.41859316825867
27000,0.04456279633432627,0.9855,49275.0,0.05435794478952884,0.9852,9852.0,0.05381774770915508,0.9848,9848.0,81.9116849899292
27500,0.044719564663767815,0.98516,49258.0,0.05377858166843653,0.9849,9849.0,0.05386128733307123,0.9849,9849.0,83.40393710136414
28000,0.041909904690384865,0.9866,49330.0,0.05674313886761665,0.9854,9854.0,0.056434685287624596,0.9847,9847.0,84.89816808700562
28500,0.04327231041193008,0.9857,49285.0,0.05555268977954984,0.9855,9855.0,0.05335963508337736,0.985,9850.0,86.39141798019409
29000,0.043967718387246134,0.98522,49261.0,0.0558557250097394,0.9857,9857.0,0.05507352911531925,0.9847,9847.0,87.88376307487488
29500,0.04505668711781502,0.98544,49272.0,0.05295879593603313,0.9853,9853.0,0.05027523114308715,0.9855,9855.0,89.37683010101318
30000,0.042198351359069346,0.9865,49325.0,0.05352397885844112,0.9853,9853.0,0.05107272448167205,0.9862,9862.0,90.86931610107422
30500,0.042647787839770315,0.98612,49306.0,0.05439637720063329,0.9851,9851.0,0.04958599025011062,0.9868,9868.0,92.79094815254211
31000,0.043811459243297574,0.98592,49296.0,0.054526537138968705,0.9862,9862.0,0.04989249254912138,0.9866,9866.0,94.27755212783813
31500,0.04107648913666606,0.98688,49344.0,0.05632934300638735,0.9847,9847.0,0.054332676582783464,0.985,9850.0,95.76174712181091
32000,0.041349727099537846,0.98666,49333.0,0.05572886350825429,0.9856,9856.0,0.05316203343644738,0.9858,9858.0,97.24987816810608
32500,0.03979357261657715,0.98704,49352.0,0.05350588811263442,0.9856,9856.0,0.05041034099906683,0.9862,9862.0,98.7417631149292
33000,0.04022068316668272,0.98736,49368.0,0.05772861694321036,0.9849,9849.0,0.05393427058756352,0.9848,9848.0,100.2330470085144
33500,0.040567239764630794,0.9868,49340.0,0.057553964392095806,0.9841,9841.0,0.05472834395766258,0.9854,9854.0,101.72513604164124
34000,0.04058273850619793,0.98644,49322.0,0.05469008477143943,0.9856,9856.0,0.052625465277582405,0.9859,9859.0,103.22126197814941
34500,0.037591792868971824,0.98714,49357.0,0.05776671578362584,0.9857,9857.0,0.052819831251353026,0.9851,9851.0,104.71453309059143
35000,0.03834488919213414,0.98738,49369.0,0.054760799144767225,0.9854,9854.0,0.05233404437154531,0.9863,9863.0,106.20759320259094
35500,0.03872638216733933,0.98732,49366.0,0.05373586573526263,0.9855,9855.0,0.05081821796484291,0.9872,9872.0,107.68888020515442
36000,0.03857365001350641,0.98766,49383.0,0.054729630562476816,0.9853,9853.0,0.05035392815247178,0.9869,9869.0,109.17635011672974
36500,0.03645739717066288,0.98832,49416.0,0.05508437325954437,0.9858,9858.0,0.052070248242095114,0.9867,9867.0,110.6694860458374
37000,0.037094281384050846,0.98802,49401.0,0.05502729397900403,0.9862,9862.0,0.05233067499548197,0.9851,9851.0,112.15612602233887
37500,0.03652176284968853,0.98834,49417.0,0.056051302422583105,0.985,9850.0,0.052661986853927374,0.9863,9863.0,113.64371514320374
38000,0.036578562908470634,0.98826,49413.0,0.056153443283215164,0.985,9850.0,0.05205381021853536,0.986,9860.0,115.1362841129303
38500,0.03629137134283781,0.9882,49410.0,0.05592666309401393,0.9855,9855.0,0.0533979446657002,0.986,9860.0,116.6282479763031
39000,0.03622688554704189,0.9883,49415.0,0.05708321794047952,0.986,9860.0,0.052916353306919336,0.9861,9861.0,118.12210297584534
39500,0.03887848886609077,0.98684,49342.0,0.05259132365733385,0.9861,9861.0,0.04933889664560556,0.9877,9877.0,119.62036418914795
40000,0.035648503738641736,0.9882,49410.0,0.05513043578714132,0.9858,9858.0,0.05408736120909453,0.9859,9859.0,121.11843013763428
40500,0.03609948381632566,0.98818,49409.0,0.0554258245524019,0.9859,9859.0,0.05622489266172052,0.9848,9848.0,123.045725107193
41000,0.03555716173484921,0.98814,49407.0,0.055482615096122026,0.9864,9864.0,0.0548375501383096,0.9844,9844.0,124.54579210281372
41500,0.035723330022990704,0.98856,49428.0,0.05500954452976584,0.9858,9858.0,0.05525844166763127,0.9856,9856.0,126.04532504081726
42000,0.034379588790237905,0.98862,49431.0,0.056889528380706905,0.9857,9857.0,0.05420593406036496,0.9856,9856.0,127.54390215873718
42500,0.03493766645550728,0.98862,49431.0,0.05470027836412191,0.9862,9862.0,0.052850573767721655,0.986,9860.0,129.0417501926422
43000,0.03407723640918732,0.9886,49430.0,0.053841638154536485,0.9874,9874.0,0.05555740944892168,0.985,9850.0,130.53814721107483
43500,0.03349240525647998,0.9892,49460.0,0.05456653143651784,0.9863,9863.0,0.05352687541265041,0.9864,9864.0,132.03489017486572
44000,0.03489740772485733,0.98832,49416.0,0.05449858689010143,0.9855,9855.0,0.053288475143909456,0.9855,9855.0,133.52487301826477
44500,0.033859955928623675,0.98884,49442.0,0.05602536675175652,0.9862,9862.0,0.052581397116556766,0.9855,9855.0,135.014986038208
45000,0.032271484083384275,0.98972,49486.0,0.05482491346821189,0.986,9860.0,0.05448002420440316,0.9856,9856.0,136.5064480304718
45500,0.03138893629238009,0.98964,49482.0,0.05406707618422806,0.9865,9865.0,0.051585991728305816,0.9856,9856.0,138.00495505332947
46000,0.03250788781300187,0.98924,49462.0,0.05427005987167358,0.9867,9867.0,0.05317587922178209,0.986,9860.0,139.50108098983765
46500,0.03283250961542129,0.98898,49449.0,0.0541166496347636,0.9867,9867.0,0.051816171213239434,0.986,9860.0,140.99891018867493
47000,0.033980895946621896,0.98946,49473.0,0.05573907681629062,0.9862,9862.0,0.05311414269655943,0.9856,9856.0,142.4959671497345
47500,0.0350804547059536,0.98832,49416.0,0.053320762284845113,0.9862,9862.0,0.0516782383620739,0.986,9860.0,143.99184703826904
48000,0.03217093662872911,0.9896,49480.0,0.052302438575960696,0.987,9870.0,0.05396352305412293,0.9857,9857.0,145.52701616287231
48500,0.03213591089233756,0.98998,49499.0,0.0554887077467516,0.9862,9862.0,0.05426615901403129,0.985,9850.0,147.05872917175293
49000,0.030780880122333765,0.99052,49526.0,0.054698614539578555,0.9865,9865.0,0.05507608812320978,0.9851,9851.0,148.5536961555481
49500,0.033493558132946494,0.98864,49432.0,0.05427650436423719,0.9869,9869.0,0.05407439615800977,0.9848,9848.0,150.04881620407104
50000,0.029985594872683288,0.99044,49522.0,0.053798368176072836,0.9868,9868.0,0.0509592335017398,0.9861,9861.0,151.5447850227356
50500,0.033229396279603245,0.9896,49480.0,0.05238782780133188,0.9867,9867.0,0.05398940127491951,0.9848,9848.0,153.47055220603943
51000,0.03206219613686204,0.98932,49466.0,0.05256880409196019,0.9867,9867.0,0.054274366213940085,0.9849,9849.0,154.96833300590515
51500,0.03148499334737658,0.98956,49478.0,0.05285313909724355,0.9867,9867.0,0.05372385690957308,0.986,9860.0,156.46414613723755
52000,0.0297095817501843,0.9905,49525.0,0.05289043005444109,0.9868,9868.0,0.05014147365354001,0.9861,9861.0,157.96001601219177
52500,0.031405239354223013,0.98942,49471.0,0.05607020434932783,0.9864,9864.0,0.05684018571805209,0.9857,9857.0,159.45534420013428
53000,0.029802620691359045,0.98994,49497.0,0.05837931356877089,0.9857,9857.0,0.05655199069306254,0.9859,9859.0,160.98516607284546
53500,0.029913793802410365,0.9901,49505.0,0.05229887914508581,0.9868,9868.0,0.05027903167530894,0.9867,9867.0,162.48564314842224
54000,0.03246164071947336,0.98958,49479.0,0.05318021012172103,0.9862,9862.0,0.05004724614843726,0.9854,9854.0,163.98366904258728
54500,0.031049531971216203,0.98962,49481.0,0.052653369477018715,0.9872,9872.0,0.05105731879472732,0.9861,9861.0,165.47509002685547
55000,0.03172221391573549,0.98934,49467.0,0.055723537050373854,0.9858,9858.0,0.053032913170568644,0.9867,9867.0,166.96688508987427
55500,0.02979559457331896,0.9897,49485.0,0.05492297592908144,0.9859,9859.0,0.055665259092301134,0.9853,9853.0,168.45890712738037
56000,0.027833357723653317,0.99028,49514.0,0.053251984614133836,0.9865,9865.0,0.05391808733949438,0.9855,9855.0,169.95167517662048
56500,0.030752479338645933,0.98976,49488.0,0.052106281071528794,0.9872,9872.0,0.051676484502106906,0.9858,9858.0,171.44365000724792
57000,0.030586750555336474,0.99018,49509.0,0.05379925337061286,0.9864,9864.0,0.051936689121089875,0.9849,9849.0,172.93237400054932
57500,0.030155441907197236,0.99012,49506.0,0.05571085703931749,0.9853,9853.0,0.053266069405525925,0.9859,9859.0,174.41976618766785
58000,0.029140652818977833,0.99016,49508.0,0.05627667445614934,0.9862,9862.0,0.05094931605104357,0.9862,9862.0,175.90528917312622
58500,0.031240036791861058,0.98946,49473.0,0.055972570457402615,0.9861,9861.0,0.05548200160339475,0.9858,9858.0,177.39936900138855
59000,0.03351271119400859,0.9887,49435.0,0.05236351266205311,0.9872,9872.0,0.0529274768287316,0.9855,9855.0,178.89234805107117
59500,0.03118931330293417,0.99022,49511.0,0.05468853474445641,0.9859,9859.0,0.05360895512029529,0.9857,9857.0,180.3849000930786
60000,0.0276132012835145,0.99054,49527.0,0.05372222185190767,0.9873,9873.0,0.05282302263379097,0.9858,9858.0,181.87675309181213
60500,0.02770421516597271,0.99088,49544.0,0.05328761467114091,0.9876,9876.0,0.05074487016759813,0.9867,9867.0,183.7983410358429
61000,0.02807665690109134,0.99074,49537.0,0.05340148241650313,0.9876,9876.0,0.05411700729429722,0.9861,9861.0,185.29154109954834
61500,0.03009158314332366,0.98984,49492.0,0.05541897619124502,0.9856,9856.0,0.05652158476933837,0.985,9850.0,186.7847821712494
62000,0.0282704527258873,0.99002,49501.0,0.053123067230172454,0.9867,9867.0,0.05365471439249814,0.9852,9852.0,188.27875304222107
62500,0.028949515894949436,0.9904,49520.0,0.0531158656809479,0.9863,9863.0,0.05181954457331449,0.9865,9865.0,189.77333617210388
63000,0.028431484656482934,0.99046,49523.0,0.05467674101945013,0.9858,9858.0,0.05431994584128261,0.9855,9855.0,191.26995205879211
63500,0.026626850833594798,0.99112,49556.0,0.05590838458873332,0.9872,9872.0,0.053239689671061935,0.9859,9859.0,192.76811718940735
64000,0.02911905413970351,0.99036,49518.0,0.055635783297708255,0.9865,9865.0,0.052396541625261306,0.9855,9855.0,194.26530003547668
64500,0.028712583258002997,0.9908,49540.0,0.05522477542907,0.9859,9859.0,0.05318159869760275,0.9857,9857.0,195.75969815254211
65000,0.027859763723015785,0.99082,49541.0,0.05225130675062537,0.9872,9872.0,0.050866159100458025,0.986,9860.0,197.25609612464905
65500,0.030599083384871485,0.98998,49499.0,0.05275181307196617,0.987,9870.0,0.051042451734095814,0.9872,9872.0,198.75291299819946
66000,0.02867279720671475,0.9909,49545.0,0.05237032341696322,0.9878,9878.0,0.050949028284847736,0.986,9860.0,200.2506401538849
66500,0.028164860979020597,0.9906,49530.0,0.054597804951667786,0.9868,9868.0,0.05246149190813303,0.9859,9859.0,201.74828219413757
67000,0.02821964826375246,0.9905,49525.0,0.05358338599419221,0.987,9870.0,0.052096884076297284,0.9854,9854.0,203.24115204811096
67500,0.028328798056840895,0.99052,49526.0,0.054480577734671534,0.9868,9868.0,0.052976351568102834,0.9853,9853.0,204.73814606666565
68000,0.028166337146162988,0.99128,49564.0,0.05288580912686884,0.9873,9873.0,0.051196134083718065,0.9864,9864.0,206.23467803001404
68500,0.028632933499217035,0.9905,49525.0,0.052349077636841684,0.9876,9876.0,0.05046597197689116,0.9867,9867.0,207.7314109802246
69000,0.02642704609170556,0.99118,49559.0,0.05349136760979891,0.9875,9875.0,0.04950913711450994,0.9861,9861.0,209.2271192073822
