Step,T_CE,T_Acc,T_Res,V_CE,V_Acc,V_Res,E_CE,E_Acc,E_Res,Time
500,0.22476456944465636,0.93106,46553.0,0.11381381645202637,0.9654,9654.0,0.09977881606817246,0.9686,9686.0,40.77420115470886
1000,0.08077710461378097,0.9765,48825.0,0.09742849028110503,0.9709,9709.0,0.08413889951705933,0.9752,9752.0,81.12953996658325
1500,0.0534330945289135,0.98472,49236.0,0.09056521722078323,0.9733,9733.0,0.07908745054006576,0.974,9740.0,120.96157693862915
2000,0.037765758744478226,0.98984,49492.0,0.0784356520652771,0.9766,9766.0,0.06937035882472992,0.9776,9776.0,160.7869040966034
2500,0.029314870976805688,0.99274,49637.0,0.07422420352697373,0.9785,9785.0,0.0666351670563221,0.9767,9767.0,200.5049910545349
3000,0.023340507593154907,0.99488,49744.0,0.07280297098755836,0.9788,9788.0,0.06529999914169311,0.9795,9795.0,240.21330213546753
3500,0.019917826279997827,0.99656,49828.0,0.07172324438095093,0.9793,9793.0,0.061551121371984485,0.9804,9804.0,280.0960831642151
4000,0.01763499016612768,0.9971,49855.0,0.06931437984108925,0.9794,9794.0,0.05866826313138008,0.9814,9814.0,319.97690510749817
4500,0.016388567513227464,0.99776,49888.0,0.0695079781293869,0.9806,9806.0,0.06125894473791122,0.9802,9802.0,359.85707998275757
5000,0.015064850677251817,0.99828,49914.0,0.06775653706789017,0.9799,9799.0,0.060327726614475254,0.982,9820.0,399.70588302612305
5500,0.01430683452308178,0.99858,49929.0,0.06607096317410469,0.9803,9803.0,0.06160070139169693,0.9801,9801.0,439.52266216278076
6000,0.013845465004444122,0.99886,49943.0,0.06813101734519005,0.9805,9805.0,0.060701046288013455,0.9806,9806.0,479.2867660522461
6500,0.013302624114155769,0.999,49950.0,0.06602993674874305,0.9819,9819.0,0.055479456108808514,0.9817,9817.0,518.9933099746704
7000,0.013204022372961045,0.99898,49949.0,0.06374527139961719,0.9812,9812.0,0.05634108743369579,0.9818,9818.0,558.7763590812683
7500,0.012966969472765922,0.99916,49958.0,0.0652597280561924,0.9804,9804.0,0.056274439185857776,0.9825,9825.0,598.5733549594879
8000,0.012968337666988372,0.99918,49959.0,0.06775798518657684,0.9808,9808.0,0.05938396235108376,0.9815,9815.0,638.2817330360413
8500,0.012818641660213471,0.9994,49970.0,0.06516969482898712,0.9811,9811.0,0.05684064379930496,0.982,9820.0,678.1320459842682
9000,0.012514866795539856,0.99938,49969.0,0.06487212476730346,0.9814,9814.0,0.05691070356965065,0.9819,9819.0,717.8294241428375
9500,0.012492360815405846,0.99936,49968.0,0.0650410352408886,0.9808,9808.0,0.05699721350669861,0.9819,9819.0,757.467903137207
10000,0.01249942256271839,0.99948,49974.0,0.06467866071462632,0.9816,9816.0,0.0602413389980793,0.9812,9812.0,797.1656620502472
10500,0.012173522973656654,0.9995,49975.0,0.06555373194217681,0.9812,9812.0,0.055865603560209275,0.9819,9819.0,837.3385319709778
11000,0.012266896129250526,0.99954,49977.0,0.06502985637187958,0.9807,9807.0,0.056596644449234006,0.9819,9819.0,877.0495779514313
11500,0.01230246927857399,0.9995,49975.0,0.06628156998753548,0.981,9810.0,0.05787176650166512,0.9817,9817.0,916.7973310947418
12000,0.012228878201246261,0.99964,49982.0,0.06293175469040871,0.9818,9818.0,0.05568135878443718,0.9824,9824.0,956.5585279464722
12500,0.012217148317098617,0.99958,49979.0,0.06428087558746338,0.9811,9811.0,0.05568135059475899,0.9826,9826.0,996.3514709472656
13000,0.01239408580482006,0.99952,49976.0,0.06398952937722206,0.9809,9809.0,0.05608347303271294,0.9821,9821.0,1036.190439939499
13500,0.012239907131791114,0.9996,49980.0,0.0647380352318287,0.9813,9813.0,0.05706934278011322,0.9818,9818.0,1075.9430830478668
14000,0.012216160329580308,0.99952,49976.0,0.06416297820210456,0.9808,9808.0,0.0574575780749321,0.981,9810.0,1115.747034072876
14500,0.012043856315016746,0.99976,49988.0,0.06488004842996598,0.981,9810.0,0.057202158707380296,0.9818,9818.0,1155.5095300674438
15000,0.012142595545649528,0.99974,49987.0,0.06430625132322311,0.9812,9812.0,0.05543635030984879,0.9823,9823.0,1195.2510499954224
15500,0.012063248228430749,0.99966,49983.0,0.06557274126410484,0.9805,9805.0,0.05680629651546478,0.9817,9817.0,1235.025757074356
16000,0.01217790036201477,0.99964,49982.0,0.06529352608919144,0.9813,9813.0,0.057219214689731596,0.9815,9815.0,1274.8366401195526
16500,0.01211458700954914,0.9997,49985.0,0.06304366557598114,0.9819,9819.0,0.05558066697716713,0.9816,9816.0,1314.7383480072021
17000,0.012050972570180892,0.99976,49988.0,0.06375235429406166,0.9806,9806.0,0.05530567212104797,0.9823,9823.0,1354.5730421543121
17500,0.012106424900889397,0.99974,49987.0,0.06355814947485924,0.9813,9813.0,0.055948215758800504,0.9821,9821.0,1394.5544641017914
18000,0.012069317355751992,0.99974,49987.0,0.06400993927717209,0.9812,9812.0,0.05622773792743683,0.9821,9821.0,1434.567724943161
18500,0.01209917585849762,0.99978,49989.0,0.06590070418715477,0.9808,9808.0,0.057540476834774014,0.9814,9814.0,1474.4888219833374
19000,0.012047440727353096,0.9998,49990.0,0.06368477044105529,0.981,9810.0,0.056519156336784365,0.9824,9824.0,1514.3342490196228
19500,0.012074949050545692,0.99974,49987.0,0.0639404845893383,0.9815,9815.0,0.05635257952213287,0.9824,9824.0,1556.433259010315
20000,0.012027328281998635,0.9998,49990.0,0.06343416366577148,0.9817,9817.0,0.05524737825393677,0.9824,9824.0,1600.7857129573822
20500,0.012100880929231644,0.99966,49983.0,0.06348802039623261,0.9816,9816.0,0.055540352207422254,0.9823,9823.0,1642.160700082779
21000,0.012041544469594956,0.9998,49990.0,0.06391556704640389,0.9812,9812.0,0.05553759192824364,0.9821,9821.0,1685.7107620239258
21500,0.012076638291478156,0.99984,49992.0,0.06424630675315857,0.9808,9808.0,0.056199401450157165,0.9819,9819.0,1734.1359219551086
22000,0.012065929009914399,0.99976,49988.0,0.06339456315636635,0.9816,9816.0,0.05550337080359459,0.9826,9826.0,1779.2708721160889
